"","gmina","wynik","longitude","latitude"
"1","Warszawa","1",21.0122287,52.2296756
"2","Poznañ","1",16.9251681,52.406374
"3","Katowice","1",19.0237815,50.2648919
"4","Wroc³aw","1",17.0385376,51.1078852
"5","Kraków","1",19.9449799,50.0646501
"6","Gliwice","1",18.6713802,50.2944923
"7","Sopot","1",18.5600956,54.441581
"8","Gdañsk","1",18.6466384,54.3520252
"9","Rzeszów","1",21.9991196,50.0411867
"10","Opole","1",17.9230651,50.6683223
"11","Bielsko-Bia³a","1",19.0583845,49.8223768
"12","Krosno","1",21.7660531,49.6824761
"13","¯ory","0",18.7006401,50.0447236
"14","Sosnowiec","0",19.1040791,50.2862638
"15","Jastrzêbie-Zdrój","0",18.6101103,49.9454207
"16","Grudzi¹dz","0",18.7535649,53.4837486
"17","Bia³a Podlaska","0",23.1445026,52.0387126
"18","Tarnobrzeg","0",21.6790698,50.5729079
"19","Zabrze","0",18.7857186,50.3249278
"20","Siemianowice Œl¹skie","0",19.0295714,50.3264314
"21","Che³m","0",23.4711986,51.1431232
"22","Piekary Œl¹skie","0",18.9270475,50.3789108
"23","Bytom","0",18.9157176,50.3483816
"24","Œwiêtoch³owice","0",18.9171298,50.2964328
"25","gmina Karpacz","1",15.7391449,50.7521427
"26","gmina Krynica Morska","1",19.445897,54.3828806
"27","gmina Sucha Beskidzka","1",19.595515,49.741728
"28","gmina Z³otów","1",17.0387342,53.3588446
"29","gmina Pruszcz Gdañski","1",18.6486989,54.2558496
"30","gmina Lubawa","1",19.7785666,53.5547212
"31","gmina Bieruñ","1",19.09291,50.08999
"32","gmina £eba","1",17.5579557,54.7556157
"33","gmina ¯ywiec","1",19.1823983,49.6912999
"34","gmina Mielec","1",21.4441947,50.2922018
"35","gmina Szczawno-Zdrój","1",16.2481333,50.8006263
"36","gmina Oœwiêcim","1",19.2490585,49.9955282
"37","gmina Gozdnica","0",15.0831463,51.4556245
"38","gmina Grybów","0",20.9476056,49.6092017
"39","gmina £askarzew","0",21.6022688,51.7874383
"40","gmina Dynów","0",22.2270519,49.8090559
"41","gmina Kalety","0",18.943124,50.5609123
"42","gmina Pi³awa Górna","0",16.7525932,50.6927144
"43","gmina Pszów","0",18.3859548,50.0392924
"44","gmina Wojcieszów","0",15.921893,50.9615193
"45","gmina Boguszów-Gorce","0",16.1996614,50.751517
"46","gmina Nieszawa","0",18.8950771,52.8344014
"47","gmina Porêba","0",19.3461172,50.4922594
"48","gmina Rejowiec Fabryczny","0",23.2506815,51.1186472
"49","gmina Polkowice","1",16.0605878,51.4897412
"50","gmina O¿arów Mazowiecki","1",20.7774829,52.2252425
"51","gmina Stryków","1",19.5859845,51.8963224
"52","gmina Kórnik","1",17.0791478,52.2114584
"53","gmina B³onie","1",20.5802125,52.1947336
"54","gmina Nowe Skalmierzyce","1",17.9501479,51.7178238
"55","gmina Zb¹szynek","1",15.8163595,52.2609156
"56","gmina Miêdzyzdroje","1",14.4439998,53.8803314
"57","gmina Dziwnów","1",14.7561412,54.0139124
"58","gmina Swarzêdz","1",17.1080328,52.4372724
"59","gmina Goleniów","1",14.7775541,53.5618144
"60","gmina Rzgów","1",18.0795166,52.1565323
"61","gmina Goni¹dz","0",22.7547101,53.5452319
"62","gmina Annopol","0",21.879254,50.8920319
"63","gmina Brzostek","0",21.4063065,49.9118914
"64","gmina Nowogród","0",21.8830228,53.2165104
"65","gmina Jedwabne","0",22.3921798,53.2985834
"66","gmina Frampol","0",22.7424204,50.6529238
"67","gmina Wyœmierzyce","0",20.7766236,51.6065795
"68","gmina Lubomierz","0",15.530945,51.0046778
"69","gmina Dobrzyñ nad Wis³¹","0",19.3102073,52.6615728
"70","gmina Sêpopol","0",21.0058204,54.290804
"71","gmina Ryglice","0",21.1836995,49.9010117
"72","gmina Lipsk","0",23.4777881,53.7643226
